gene	organism
Igha	mouse
Ighd	mouse
Ighd1-1	mouse
Ighd2-3	mouse
Ighd2-4	mouse
Ighd2-5	mouse
Ighd2-6	mouse
Ighd2-7	mouse
Ighd2-8	mouse
Ighd3-1	mouse
Ighd3-2	mouse
Ighd4-1	mouse
Ighd5-2	mouse
Ighd5-3	mouse
Ighd5-4	mouse
Ighd5-5	mouse
Ighd5-6	mouse
Ighd5-7	mouse
Ighd5-8	mouse
Ighe	mouse
Ighg1	mouse
Ighg2b	mouse
Ighg2c	mouse
Ighj1	mouse
Ighj2	mouse
Ighj3	mouse
Ighj4	mouse
Ighm	mouse
Ighmbp2	mouse
Ighv1-1	mouse
Ighv1-10	mouse
Ighv1-11	mouse
Ighv1-12	mouse
Ighv1-13	mouse
Ighv1-13.1	mouse
Ighv1-14	mouse
Ighv1-15	mouse
Ighv1-16	mouse
Ighv1-17	mouse
Ighv1-17-1	mouse
Ighv1-18	mouse
Ighv1-19	mouse
Ighv1-19-1	mouse
Ighv1-2	mouse
Ighv1-20	mouse
Ighv1-21	mouse
Ighv1-21-1	mouse
Ighv1-22	mouse
Ighv1-23	mouse
Ighv1-24	mouse
Ighv1-25	mouse
Ighv1-26	mouse
Ighv1-27	mouse
Ighv1-28	mouse
Ighv1-29	mouse
Ighv1-3	mouse
Ighv1-30	mouse
Ighv1-31	mouse
Ighv1-32	mouse
Ighv1-33	mouse
Ighv1-34	mouse
Ighv1-35	mouse
Ighv1-36	mouse
Ighv1-37	mouse
Ighv1-38	mouse
Ighv1-39	mouse
Ighv1-4	mouse
Ighv1-40	mouse
Ighv1-41	mouse
Ighv1-42	mouse
Ighv1-43	mouse
Ighv1-44	mouse
Ighv1-45	mouse
Ighv1-46	mouse
Ighv1-47	mouse
Ighv1-48	mouse
Ighv1-49	mouse
Ighv1-5	mouse
Ighv1-50	mouse
Ighv1-51	mouse
Ighv1-52	mouse
Ighv1-53	mouse
Ighv1-54	mouse
Ighv1-55	mouse
Ighv1-56	mouse
Ighv1-57	mouse
Ighv1-58	mouse
Ighv1-59	mouse
Ighv1-6	mouse
Ighv1-60	mouse
Ighv1-61	mouse
Ighv1-62	mouse
Ighv1-62-1	mouse
Ighv1-62-2	mouse
Ighv1-62-3	mouse
Ighv1-63	mouse
Ighv1-64	mouse
Ighv1-65	mouse
Ighv1-66	mouse
Ighv1-67	mouse
Ighv1-68	mouse
Ighv1-69	mouse
Ighv1-7	mouse
Ighv1-70	mouse
Ighv1-71	mouse
Ighv1-72	mouse
Ighv1-73	mouse
Ighv1-74	mouse
Ighv1-75	mouse
Ighv1-76	mouse
Ighv1-77	mouse
Ighv1-78	mouse
Ighv1-79	mouse
Ighv1-8	mouse
Ighv1-80	mouse
Ighv1-81	mouse
Ighv1-82	mouse
Ighv1-83	mouse
Ighv1-84	mouse
Ighv1-85	mouse
Ighv1-86	mouse
Ighv1-9	mouse
Ighv10-1	mouse
Ighv10-2	mouse
Ighv10-3	mouse
Ighv10-4	mouse
Ighv11-1	mouse
Ighv11-2	mouse
Ighv12-1	mouse
Ighv12-2	mouse
Ighv12-3	mouse
Ighv13-1	mouse
Ighv13-2	mouse
Ighv14-1	mouse
Ighv14-2	mouse
Ighv14-3	mouse
Ighv14-4	mouse
Ighv15-1	mouse
Ighv15-2	mouse
Ighv16-1	mouse
Ighv2-1	mouse
Ighv2-2	mouse
Ighv2-3	mouse
Ighv2-4	mouse
Ighv2-5	mouse
Ighv2-6	mouse
Ighv2-6-8	mouse
Ighv2-7	mouse
Ighv2-8	mouse
Ighv2-9	mouse
Ighv2-9-1	mouse
Ighv3-1	mouse
Ighv3-2	mouse
Ighv3-3	mouse
Ighv3-4	mouse
Ighv3-5	mouse
Ighv3-6	mouse
Ighv3-7	mouse
Ighv3-8	mouse
Ighv4-1	mouse
Ighv4-2	mouse
Ighv5-1	mouse
Ighv5-10	mouse
Ighv5-11	mouse
Ighv5-12	mouse
Ighv5-12-4	mouse
Ighv5-13	mouse
Ighv5-15	mouse
Ighv5-16	mouse
Ighv5-17	mouse
Ighv5-18	mouse
Ighv5-19	mouse
Ighv5-2	mouse
Ighv5-21	mouse
Ighv5-3	mouse
Ighv5-4	mouse
Ighv5-5	mouse
Ighv5-6	mouse
Ighv5-7	mouse
Ighv5-8	mouse
Ighv5-8.1	mouse
Ighv5-9	mouse
Ighv5-9-1	mouse
Ighv6-1	mouse
Ighv6-2	mouse
Ighv6-3	mouse
Ighv6-4	mouse
Ighv6-5	mouse
Ighv6-6	mouse
Ighv6-7	mouse
Ighv7-1	mouse
Ighv7-2	mouse
Ighv7-3	mouse
Ighv7-4	mouse
Ighv8-1	mouse
Ighv8-10	mouse
Ighv8-11	mouse
Ighv8-12	mouse
Ighv8-13	mouse
Ighv8-14	mouse
Ighv8-15	mouse
Ighv8-16	mouse
Ighv8-2	mouse
Ighv8-3	mouse
Ighv8-4	mouse
Ighv8-5	mouse
Ighv8-6	mouse
Ighv8-7	mouse
Ighv8-8	mouse
Ighv8-9	mouse
Ighv9-1	mouse
Ighv9-2	mouse
Ighv9-3	mouse
Ighv9-4	mouse
Igkc	mouse
Igkv1-108	mouse
Igkv1-110	mouse
Igkv1-115	mouse
Igkv1-117	mouse
Igkv1-122	mouse
Igkv1-131	mouse
Igkv1-132	mouse
Igkv1-133	mouse
Igkv1-135	mouse
Igkv1-136	mouse
Igkv1-35	mouse
Igkv1-88	mouse
Igkv1-99	mouse
Igkv10-94	mouse
Igkv10-95	mouse
Igkv10-96	mouse
Igkv11-106	mouse
Igkv11-114	mouse
Igkv11-118	mouse
Igkv11-125	mouse
Igkv12-38	mouse
Igkv12-40	mouse
Igkv12-41	mouse
Igkv12-42	mouse
Igkv12-44	mouse
Igkv12-46	mouse
Igkv12-47	mouse
Igkv12-49	mouse
Igkv12-66	mouse
Igkv12-67	mouse
Igkv12-89	mouse
Igkv12-98	mouse
Igkv13-54-1	mouse
Igkv13-55-1	mouse
Igkv13-56-1	mouse
Igkv13-57-1	mouse
Igkv13-57-2	mouse
Igkv13-61-1	mouse
Igkv13-62-1	mouse
Igkv13-64	mouse
Igkv13-71-1	mouse
Igkv13-73-1	mouse
Igkv13-74-1	mouse
Igkv13-76	mouse
Igkv13-78-1	mouse
Igkv13-80-1	mouse
Igkv13-82	mouse
Igkv13-84	mouse
Igkv13-85	mouse
Igkv13-87	mouse
Igkv14-100	mouse
Igkv14-111	mouse
Igkv14-118-1	mouse
Igkv14-118-2	mouse
Igkv14-126	mouse
Igkv14-126-1	mouse
Igkv14-130	mouse
Igkv14-134-1	mouse
Igkv15-101	mouse
Igkv15-101-1	mouse
Igkv15-102	mouse
Igkv15-103	mouse
Igkv15-97	mouse
Igkv16-104	mouse
Igkv17-121	mouse
Igkv17-127	mouse
Igkv17-134	mouse
Igkv18-36	mouse
Igkv19-93	mouse
Igkv2-105	mouse
Igkv2-107	mouse
Igkv2-109	mouse
Igkv2-112	mouse
Igkv2-113	mouse
Igkv2-116	mouse
Igkv2-137	mouse
Igkv2-93-1	mouse
Igkv2-95-1	mouse
Igkv2-95-2	mouse
Igkv20-101-2	mouse
Igkv3-1	mouse
Igkv3-10	mouse
Igkv3-11	mouse
Igkv3-12	mouse
Igkv3-12-1	mouse
Igkv3-2	mouse
Igkv3-3	mouse
Igkv3-4	mouse
Igkv3-5	mouse
Igkv3-6	mouse
Igkv3-7	mouse
Igkv3-8	mouse
Igkv3-9	mouse
Igkv4-50	mouse
Igkv4-51	mouse
Igkv4-53	mouse
Igkv4-54	mouse
Igkv4-55	mouse
Igkv4-56	mouse
Igkv4-57	mouse
Igkv4-57-1	mouse
Igkv4-58	mouse
Igkv4-59	mouse
Igkv4-60	mouse
Igkv4-61	mouse
Igkv4-62	mouse
Igkv4-63	mouse
Igkv4-65	mouse
Igkv4-68	mouse
Igkv4-69	mouse
Igkv4-70	mouse
Igkv4-71	mouse
Igkv4-72	mouse
Igkv4-73	mouse
Igkv4-74	mouse
Igkv4-75	mouse
Igkv4-77	mouse
Igkv4-78	mouse
Igkv4-79	mouse
Igkv4-80	mouse
Igkv4-81	mouse
Igkv4-83	mouse
Igkv4-86	mouse
Igkv4-90	mouse
Igkv4-91	mouse
Igkv4-92	mouse
Igkv5-37	mouse
Igkv5-39	mouse
Igkv5-40-1	mouse
Igkv5-43	mouse
Igkv5-45	mouse
Igkv5-48	mouse
Igkv6-13	mouse
Igkv6-14	mouse
Igkv6-15	mouse
Igkv6-17	mouse
Igkv6-20	mouse
Igkv6-23	mouse
Igkv6-25	mouse
Igkv6-29	mouse
Igkv6-32	mouse
Igkv7-33	mouse
Igkv8-16	mouse
Igkv8-18	mouse
Igkv8-19	mouse
Igkv8-21	mouse
Igkv8-22	mouse
Igkv8-24	mouse
Igkv8-26	mouse
Igkv8-27	mouse
Igkv8-28	mouse
Igkv8-30	mouse
Igkv8-31	mouse
Igkv8-34	mouse
Igkv9-119	mouse
Igkv9-120	mouse
Igkv9-123	mouse
Igkv9-124	mouse
Igkv9-128	mouse
Igkv9-129	mouse
Iglc1	mouse
Iglc2	mouse
Iglc3	mouse
Iglc4	mouse
Iglj1	mouse
Iglj2	mouse
Iglj3	mouse
Iglj3p	mouse
Iglj4	mouse
Iglv1	mouse
Iglv2	mouse
Iglv3	mouse
Tcrg-C1	mouse
Tcrg-C2	mouse
Tcrg-C3	mouse
Tcrg-C4	mouse
Tcrg-V1	mouse
Tcrg-V3	mouse
Tcrg-V4	mouse
Tcrg-V5	mouse
Tcrg-V6	mouse
Tcrg-V7	mouse
Trac	mouse
Traj1	mouse
Traj11	mouse
Traj12	mouse
Traj13	mouse
Traj14	mouse
Traj15	mouse
Traj16	mouse
Traj17	mouse
Traj18	mouse
Traj19	mouse
Traj2	mouse
Traj20	mouse
Traj21	mouse
Traj22	mouse
Traj23	mouse
Traj24	mouse
Traj25	mouse
Traj26	mouse
Traj27	mouse
Traj28	mouse
Traj29	mouse
Traj3	mouse
Traj30	mouse
Traj31	mouse
Traj32	mouse
Traj33	mouse
Traj34	mouse
Traj35	mouse
Traj36	mouse
Traj37	mouse
Traj38	mouse
Traj39	mouse
Traj4	mouse
Traj40	mouse
Traj41	mouse
Traj42	mouse
Traj43	mouse
Traj44	mouse
Traj45	mouse
Traj46	mouse
Traj47	mouse
Traj48	mouse
Traj49	mouse
Traj5	mouse
Traj50	mouse
Traj51	mouse
Traj52	mouse
Traj53	mouse
Traj54	mouse
Traj55	mouse
Traj56	mouse
Traj57	mouse
Traj58	mouse
Traj59	mouse
Traj6	mouse
Traj60	mouse
Traj61	mouse
Traj7	mouse
Traj8	mouse
Traj9	mouse
Trav1	mouse
Trav10	mouse
Trav10d	mouse
Trav10n	mouse
Trav11	mouse
Trav11d	mouse
Trav11n	mouse
Trav12-1	mouse
Trav12-2	mouse
Trav12-3	mouse
Trav12-4	mouse
Trav12d-1	mouse
Trav12d-2	mouse
Trav12d-3	mouse
Trav12n-1	mouse
Trav12n-2	mouse
Trav12n-3	mouse
Trav13-1	mouse
Trav13-2	mouse
Trav13-3	mouse
Trav13-4-dv7	mouse
Trav13d-1	mouse
Trav13d-2	mouse
Trav13d-3	mouse
Trav13d-4	mouse
Trav13n-1	mouse
Trav13n-2	mouse
Trav13n-3	mouse
Trav13n-4	mouse
Trav14-1	mouse
Trav14-2	mouse
Trav14-3	mouse
Trav14d-1	mouse
Trav14d-2	mouse
Trav14d-3-dv8	mouse
Trav14n-1	mouse
Trav14n-2	mouse
Trav14n-3	mouse
Trav15-1-dv6-1	mouse
Trav15-2-dv6-2	mouse
Trav15-3	mouse
Trav15d-1-dv6d-1	mouse
Trav15d-2-dv6d-2	mouse
Trav15d-3	mouse
Trav15n-1	mouse
Trav15n-2	mouse
Trav15n-3	mouse
Trav16	mouse
Trav16d-dv11	mouse
Trav16n	mouse
Trav17	mouse
Trav18	mouse
Trav19	mouse
Trav2	mouse
Trav20	mouse
Trav21-dv12	mouse
Trav22	mouse
Trav23	mouse
Trav3-1	mouse
Trav3-2	mouse
Trav3-3	mouse
Trav3-4	mouse
Trav3d-2	mouse
Trav3d-3	mouse
Trav3n-2	mouse
Trav3n-3	mouse
Trav4-1	mouse
Trav4-2	mouse
Trav4-3	mouse
Trav4-4-dv10	mouse
Trav4d-2	mouse
Trav4d-3	mouse
Trav4d-4	mouse
Trav4n-3	mouse
Trav4n-4	mouse
Trav5-1	mouse
Trav5-2	mouse
Trav5-4	mouse
Trav5d-2	mouse
Trav5d-3	mouse
Trav5d-4	mouse
Trav5n-2	mouse
Trav5n-3	mouse
Trav5n-4	mouse
Trav6-1	mouse
Trav6-2	mouse
Trav6-3	mouse
Trav6-4	mouse
Trav6-5	mouse
Trav6-6	mouse
Trav6-7-dv9	mouse
Trav6d-3	mouse
Trav6d-4	mouse
Trav6d-5	mouse
Trav6d-6	mouse
Trav6d-7	mouse
Trav6n-5	mouse
Trav6n-6	mouse
Trav6n-7	mouse
Trav7-1	mouse
Trav7-2	mouse
Trav7-3	mouse
Trav7-4	mouse
Trav7-5	mouse
Trav7-6	mouse
Trav7d-2	mouse
Trav7d-3	mouse
Trav7d-4	mouse
Trav7d-5	mouse
Trav7n-4	mouse
Trav7n-5	mouse
Trav7n-6	mouse
Trav8-1	mouse
Trav8-2	mouse
Trav8d-1	mouse
Trav8d-2	mouse
Trav8n-2	mouse
Trav9-1	mouse
Trav9-2	mouse
Trav9-4	mouse
Trav9d-1	mouse
Trav9d-2	mouse
Trav9d-3	mouse
Trav9d-4	mouse
Trav9n-1	mouse
Trav9n-2	mouse
Trav9n-3	mouse
Trav9n-4	mouse
Trbc1	mouse
Trbc2	mouse
Trbd1	mouse
Trbd2	mouse
Trbj1-1	mouse
Trbj1-2	mouse
Trbj1-3	mouse
Trbj1-4	mouse
Trbj1-5	mouse
Trbj1-6	mouse
Trbj1-7	mouse
Trbj2-1	mouse
Trbj2-2	mouse
Trbj2-3	mouse
Trbj2-4	mouse
Trbj2-5	mouse
Trbj2-6	mouse
Trbj2-7	mouse
Trbv1	mouse
Trbv10	mouse
Trbv11	mouse
Trbv12-1	mouse
Trbv12-2	mouse
Trbv12-3	mouse
Trbv13-1	mouse
Trbv13-2	mouse
Trbv13-3	mouse
Trbv14	mouse
Trbv15	mouse
Trbv16	mouse
Trbv17	mouse
Trbv18	mouse
Trbv19	mouse
Trbv2	mouse
Trbv20	mouse
Trbv21	mouse
Trbv22	mouse
Trbv23	mouse
Trbv24	mouse
Trbv25	mouse
Trbv26	mouse
Trbv27	mouse
Trbv28	mouse
Trbv29	mouse
Trbv3	mouse
Trbv30	mouse
Trbv31	mouse
Trbv4	mouse
Trbv5	mouse
Trbv6	mouse
Trbv7	mouse
Trbv8	mouse
Trbv9	mouse
Trdc	mouse
Trdd1	mouse
Trdd2	mouse
Trdj1	mouse
Trdj2	mouse
Trdv1	mouse
Trdv2-1	mouse
Trdv2-2	mouse
Trdv3	mouse
Trdv4	mouse
Trdv5	mouse
Trgj1	mouse
Trgj2	mouse
Trgj3	mouse
Trgj4	mouse
IGHV1-12	human
IGHV1-14	human
IGHV1-17	human
IGHV1-18	human
IGHV1-2	human
IGHV1-24	human
IGHV1-3	human
IGHV1-45	human
IGHV1-46	human
IGHV1-58	human
IGHV1-67	human
IGHV1-69	human
IGHV1-69-2	human
IGHV1-69D	human
IGHV1OR15-1	human
IGHV1OR15-2	human
IGHV1OR15-3	human
IGHV2-26	human
IGHV2-5	human
IGHV2-70	human
IGHV2-70D	human
IGHV3-11	human
IGHV3-13	human
IGHV3-15	human
IGHV3-16	human
IGHV3-19	human
IGHV3-20	human
IGHV3-21	human
IGHV3-22	human
IGHV3-23	human
IGHV3-30	human
IGHV3-30-2	human
IGHV3-33	human
IGHV3-33-2	human
IGHV3-35	human
IGHV3-38	human
IGHV3-41	human
IGHV3-43	human
IGHV3-47	human
IGHV3-48	human
IGHV3-49	human
IGHV3-52	human
IGHV3-53	human
IGHV3-62	human
IGHV3-64	human
IGHV3-64D	human
IGHV3-65	human
IGHV3-66	human
IGHV3-69-1	human
IGHV3-7	human
IGHV3-71	human
IGHV3-72	human
IGHV3-73	human
IGHV3-74	human
IGHV3-75	human
IGHV3-76	human
IGHV3-79	human
IGHV3OR16-13	human
IGHV4-28	human
IGHV4-31	human
IGHV4-34	human
IGHV4-39	human
IGHV4-4	human
IGHV4-55	human
IGHV4-59	human
IGHV4-61	human
IGHV5-10-1	human
IGHV5-51	human
IGHV5-78	human
IGHV6-1	human
IGHV7-4-1	human
IGHV7-81	human
IGHVIII-11-1	human
IGHVIII-2-1	human
IGKV1-12	human
IGKV1-13	human
IGKV1-16	human
IGKV1-17	human
IGKV1-27	human
IGKV1-33	human
IGKV1-37	human
IGKV1-39	human
IGKV1-5	human
IGKV1-6	human
IGKV1-8	human
IGKV1-9	human
IGKV1D-12	human
IGKV1D-13	human
IGKV1D-16	human
IGKV1D-17	human
IGKV1D-27	human
IGKV1D-33	human
IGKV1D-37	human
IGKV1D-39	human
IGKV1D-43	human
IGKV1D-8	human
IGKV1OR2-108	human
IGKV2-18	human
IGKV2-24	human
IGKV2-26	human
IGKV2-28	human
IGKV2-29	human
IGKV2-30	human
IGKV2-40	human
IGKV2D-24	human
IGKV2D-26	human
IGKV2D-28	human
IGKV2D-29	human
IGKV2D-30	human
IGKV2D-40	human
IGKV2OR22-4	human
IGKV3-11	human
IGKV3-15	human
IGKV3-20	human
IGKV3-7	human
IGKV3D-11	human
IGKV3D-15	human
IGKV3D-20	human
IGKV3D-7	human
IGKV3OR2-268	human
IGKV4-1	human
IGKV5-2	human
IGKV6-21	human
IGKV6D-21	human
IGKV7-3	human
IGLV1-36	human
IGLV1-40	human
IGLV1-41	human
IGLV1-44	human
IGLV1-47	human
IGLV1-50	human
IGLV1-51	human
IGLV10-54	human
IGLV11-55	human
IGLV2-11	human
IGLV2-14	human
IGLV2-18	human
IGLV2-23	human
IGLV2-33	human
IGLV2-34	human
IGLV2-5	human
IGLV2-8	human
IGLV3-1	human
IGLV3-10	human
IGLV3-12	human
IGLV3-13	human
IGLV3-15	human
IGLV3-16	human
IGLV3-17	human
IGLV3-19	human
IGLV3-21	human
IGLV3-24	human
IGLV3-25	human
IGLV3-27	human
IGLV3-6	human
IGLV3-9	human
IGLV4-3	human
IGLV4-60	human
IGLV4-69	human
IGLV5-37	human
IGLV5-45	human
IGLV5-48	human
IGLV5-52	human
IGLV6-57	human
IGLV7-35	human
IGLV7-43	human
IGLV7-46	human
IGLV8-61	human
IGLV9-49	human
IGLVI-70	human
TRAC	human
TRAV1-1	human
TRAV1-2	human
TRAV10	human
TRAV12-1	human
TRAV12-2	human
TRAV12-3	human
TRAV13-1	human
TRAV13-2	human
TRAV14DV4	human
TRAV16	human
TRAV17	human
TRAV18	human
TRAV19	human
TRAV2	human
TRAV20	human
TRAV21	human
TRAV22	human
TRAV23DV6	human
TRAV24	human
TRAV25	human
TRAV26-1	human
TRAV26-2	human
TRAV27	human
TRAV28	human
TRAV29DV5	human
TRAV3	human
TRAV30	human
TRAV31	human
TRAV32	human
TRAV33	human
TRAV34	human
TRAV35	human
TRAV36DV7	human
TRAV37	human
TRAV38-1	human
TRAV38-2DV8	human
TRAV39	human
TRAV4	human
TRAV40	human
TRAV41	human
TRAV5	human
TRAV6	human
TRAV8-1	human
TRAV8-2	human
TRAV8-3	human
TRAV8-4	human
TRAV8-5	human
TRAV8-6	human
TRAV9-2	human
TRBC1	human
TRBC2	human
TRBV1	human
TRBV10-1	human
TRBV10-2	human
TRBV10-3	human
TRBV11-1	human
TRBV11-2	human
TRBV11-3	human
TRBV12-1	human
TRBV12-2	human
TRBV12-3	human
TRBV12-4	human
TRBV12-5	human
TRBV13	human
TRBV14	human
TRBV15	human
TRBV16	human
TRBV17	human
TRBV18	human
TRBV19	human
TRBV2	human
TRBV20-1	human
TRBV20OR9-2	human
TRBV21-1	human
TRBV21OR9-2	human
TRBV22-1	human
TRBV22OR9-2	human
TRBV23-1	human
TRBV23OR9-2	human
TRBV24-1	human
TRBV24OR9-2	human
TRBV25-1	human
TRBV25OR9-2	human
TRBV26	human
TRBV26OR9-2	human
TRBV27	human
TRBV28	human
TRBV29-1	human
TRBV29OR9-2	human
TRBV3-1	human
TRBV30	human
TRBV4-1	human
TRBV4-2	human
TRBV5-1	human
TRBV5-3	human
TRBV5-4	human
TRBV5-5	human
TRBV5-6	human
TRBV5-7	human
TRBV6-1	human
TRBV6-2	human
TRBV6-4	human
TRBV6-5	human
TRBV6-6	human
TRBV6-7	human
TRBV6-8	human
TRBV7-2	human
TRBV7-3	human
TRBV7-4	human
TRBV7-5	human
TRBV7-6	human
TRBV7-7	human
TRBV7-9	human
TRBV9	human
TRDC	human
TRDV1	human
TRDV2	human
TRDV3	human
TRGC1	human
TRGC2	human
TRGV10	human
TRGV11	human
TRGV2	human
TRGV3	human
TRGV4	human
TRGV5	human
TRGV5P	human
TRGV7	human
TRGV8	human
TRGV9	human
